words	rst	class	segment	rst_code	class_code
Of course the cons to therapeutic cloning is how much it costs , but this debate is more about ethics than anything else , and killing a human embryo to save a life IS ethical .	elaboration	Argument	20	9	0
Cloning has the potential to change the world for infertile couples almost overnight .	elaboration	Argument	103	9	0
The current options for infertile couples are painful , expensive , and heart-breaking . The current options for infertile couples are painful , expensive , and heart-breaking .	none	Argument	327	15	0
Must those who believe the advance to be morally permissible prove	elaboration	NoArgument	1272	9	1
it so , or must those who believe it to be morally impermissible prove	elaboration	NoArgument	1272	9	1
it so ?	purpose	NoArgument	1272	16	1
Must those it so , or must those	same_unit	NoArgument	1272	20	1
it so , or must those it	same_unit	NoArgument	1272	20	1
You can not have so-called therapeutic cloning without reproductive	circumstance	Argument	2729	2	0
without reproductive cloning	elaboration	Argument	2729	9	0
cloning because the technique	reason	Argument	2729	18	0
because the technique to make cloned babies is the same	elaboration	Argument	2729	9	0
to make cloned babies is the same as to make a cloned embryo	circumstance	Argument	2729	2	0
to make cloned babies is the same to try	purpose	Argument	2729	16	0
to try to make replacement tissues .	purpose	Argument	2729	16	0
Any treatments that rely upon cloning techniques would be very expensive , and likely unaffordable to large majorities of people . Any treatments that rely upon cloning techniques would be very expensive , and likely unaffordable to large majorities of people .	none	Argument	2188	15	0
From a more liberal standpoint , Mr Fukuyama worries about equality if inequality is designed into people 's genes .	condition	Argument	142	5	0
that there are identical twins counts against there being a problem .	elaboration	NoArgument	86	9	1
Again , the fact that there are identical twins counts against there being	attribution	NoArgument	86	1	1
Different versions of this epigenetic argument are analysed , a categorical version and a non-categorical . Different versions of this epigenetic argument are analysed , a categorical version and a non-categorical .	none	NoArgument	740	15	1
The arguments can either be applied with equal force to other ethical situations that are not prohibited , or are inconsistent with the three principles listed above . The arguments can either be applied with equal force to other ethical situations that are not prohibited , or are inconsistent with the three principles listed above .	none	NoArgument	501	15	1
Policy and social changes that protect lesbian and gay families are a much	attribution	NoArgument	1085	1	1
that protect lesbian and gay families are a much more pressing need .	list	NoArgument	1085	12	1
How can you believe in	elaboration	NoArgument	32	9	1
in something	elaboration	NoArgument	32	9	1
something you	elaboration	NoArgument	32	9	1
CAN NOT see , hear , or talk to ?	purpose	NoArgument	32	16	1
something CAN NOT see , hear , or talk	same_unit	NoArgument	32	20	1
that the Catholic Pope is against cloning , but I find that at odds with being fruitful	elaboration	NoArgument	84	9	1
I know that the Catholic Pope is against cloning ,	attribution	NoArgument	84	1	1
but I find that at odds with being fruitful and multiplying .	list	NoArgument	84	12	1
If cloning could be perfected and used for this limited group , it would be all but impossible to prevent its use from spreading .	purpose	Argument	1706	16	0
Also , in Genesis 11 is the story of the Tower of Babel . Also , in Genesis 11 is the story of the Tower of Babel .	none	NoArgument	1208	15	1
Those that survive will have genetic abnormalities ,	elaboration	Argument	189	9	0
survive will have genetic abnormalities , one	elaboration	Argument	189	9	0
one of which is rapid aging .	elaboration	Argument	189	9	0
There is no reason that	elaboration	Argument	714	9	0
that individuals and society ca n't learn to embrace human clones as just one more element of human diversity and creativity .	same_unit	Argument	714	20	0
On the scientific side , we see that a large percentage of cloning efforts end in failure .	attribution	Argument	984	1	0
Worse , being infertile is often not considered a real medical problem and insurance companies and governments are not sympathetic . Worse , being infertile is often not considered a real medical problem and insurance companies and governments are not sympathetic .	none	NoArgument	1545	15	1
without religion ( did you think	elaboration	NoArgument	160	9	1
you think of koas )	elaboration	NoArgument	160	9	1
you think because that 's how it would be .	reason	NoArgument	160	18	1
just think a world without religion ( did	attribution	NoArgument	160	1	1
Why would you prevent that ? Why would you prevent that ?	none	Argument	1320	15	0
The question of presumption is , I submit , the interesting question to arise out of this debate .	elaboration	NoArgument	509	9	1
In the time it took to reproduce Missy , she got another ' real ' dog ,	elaboration	NoArgument	510	9	1
In the time it took to reproduce Missy , she got another ' real she said .	attribution	NoArgument	510	1	1
In the time it took to reproduce Missy , she got another ' real 	elaboration	NoArgument	510	9	1
- European Convention on Human Rights prohibits human cloning in an additional protocol , but the protocol has been ratified only by Greece , Spain and Portugal .	elaboration	NoArgument	186	9	1
European Union - European Convention on Human Rights prohibits human cloning in an additional protocol , but the protocol has been ratified	attribution	NoArgument	186	1	1
that it may eventually be possible to achieve similar results	purpose	Argument	2722	16	0
to achieve similar results by reprogramming some of the patient 's own cells .	means	Argument	2722	14	0
Other recent research suggests that it may eventually be possible	attribution	Argument	2722	1	0
People would n't know how to act towards religion anymore . People would n't know how to act towards religion anymore .	none	NoArgument	965	15	1
to give birth to a baby	elaboration	Argument	1132	9	0
to a baby but they want to have a baby	elaboration	Argument	1132	9	0
but they want to have a baby then also cloning is not the right way	elaboration	Argument	1132	9	0
then also cloning is not the right way to have a baby.they can adopt a baby from orphenage	elaboration	Argument	1132	9	0
to have a baby.they can adopt a baby from orphenage if they really want baby in their life .	condition	Argument	1132	5	0
if a person is unable to give birth	condition	Argument	1132	5	0
i think if a person is unable	attribution	Argument	1132	1	0
Who created the American Flag ? Who created the American Flag ?	none	NoArgument	326	15	1
Second , in my opinion , you are not going to convince anyone with any kind of intelligence that you have a valid point	elaboration	NoArgument	2775	9	1
that you have a valid point if you are ( assumed ) too ignorant	condition	NoArgument	2775	5	1
if you are ( assumed ) too ignorant to check your post for grammatical errors and spelling errors .	condition	NoArgument	2775	5	1
What about all the disfigured and highly abnormal clones that either spontaneously aborted or were destroyed / terminated by scientists worried about the horrors they might be creating . What about all the disfigured and highly abnormal clones that either spontaneously aborted or were destroyed / terminated by scientists worried about the horrors they might be creating .	none	Argument	1946	15	0
five feel cloning would be justified either to save the life of the person being cloned , or to help infertile couples to have	purpose	Argument	164	16	0
to help infertile couples to have children	elaboration	Argument	164	9	0
children without having to adopt .	manner	Argument	164	13	0
Roughly one in five feel cloning would be justified either to save the life of the person being cloned , or	attribution	Argument	164	1	0
Reproductive cloning would foster an understanding of children , and of people in general , as objects that can be designed and manufactured to possess specific characteristics .	purpose	Argument	2018	16	0
Some types of stem cells may be able to create all other cells in the body . Some types of stem cells may be able to create all other cells in the body .	none	Argument	701	15	0
They will be man made , not God made ! They will be man made , not God made !	none	NoArgument	233	15	1
Some technologies that allow individuals to plan their families , such as contraception , are approved by the vast majority of Americans , while others , such as abortion , are deeply divisive .	circumstance	NoArgument	82	2	1
For example : A boy graduates from high school at age 18 .	elaboration	NoArgument	3001	9	1
Advocating a moratorium on research cloning does not preclude support for continued work to overcome the technical difficulties .	elaboration	NoArgument	1149	9	1
Because the sick will demand it - Those resisting	elaboration	Argument	834	9	0
- Those resisting human cloning research will probably find themselves shouted down by the sick and the maimed	elaboration	Argument	834	9	0
human cloning research will probably find themselves shouted down by the sick and the maimed who desperately need such research .	elaboration	Argument	834	9	0
Thirty-three percent supported a ban on all types of cloning . Thirty-three percent supported a ban on all types of cloning .	none	Argument	1010	15	0
Therapeutic cloning is not just a remedy but also a preventive treatment .	elaboration	Argument	273	9	0
Her father is her brother-in-law . Her father is her brother-in-law .	none	NoArgument	1186	15	1
If he did n't want cloning to be possible it would n't be possible at all	elaboration	NoArgument	154	9	1
to be possible it would n't be possible at all !	elaboration	NoArgument	154	9	1
Dolly , was developed by a team of scientists at the Roslin Institute in Edinburgh , Scotland . Dolly , was developed by a team of scientists at the Roslin Institute in Edinburgh , Scotland .	none	NoArgument	2249	15	1
Shall we wait endlessly on line for an organ that may or may not come to us on time ? Shall we wait endlessly on line for an organ that may or may not come to us on time ?	none	Argument	1982	15	0
Also the primary source of stem cells is from blastocysts . Also the primary source of stem cells is from blastocysts .	none	NoArgument	102	15	1
A particular worry is the possibility that the genetic material used from the adult will continue to age	elaboration	Argument	901	9	0
that the genetic material used from the adult will continue to age so that the genes in a newborn baby clone could be - say	elaboration	Argument	901	9	0
so that the genes in a newborn baby clone could be - say - 30 years old or more on the day of birth .	elaboration	Argument	901	9	0
that life is not cruel , its the people who try to control the natural process of life that	elaboration	Argument	428	9	0
Remember guys that life is not cruel , its the people	attribution	Argument	428	1	0
who try to control the natural process of life that make it cruel .	list	Argument	428	12	0
that scientists could reproduce work published last year by researchers in Oregon who used skin cells from a patient	elaboration	Argument	374	9	0
who used skin cells from a patient to create a cloned embryo	purpose	Argument	374	16	0
The study showed that scientists could reproduce work published last year by researchers in Oregon	attribution	Argument	374	1	0
to create a cloned embryo and from the cloned embryos derived embryonic stem cells .	list	Argument	374	12	0
And it would allow gay men to have children without the use of donor eggs and a suragette .	manner	Argument	138	13	0
However , many groups have used a broader definition of cloning . However , many groups have used a broader definition of cloning .	none	NoArgument	40	15	1
well im not saying all cloning is bad im for the cloning for donors and other good stuff , but is it neccesary to clone a whole human ?	attribution	NoArgument	1092	1	1
In fact , a majority of Americans who	elaboration	NoArgument	2964	9	1
religion is not very important in their lives say that cloning of animals should be allowed .	attribution	NoArgument	2964	1	1
say religion is not very important in their lives say	attribution	NoArgument	2964	1	1
In fact , a majority of Americans that cloning of animals should be allowed .	same_unit	NoArgument	2964	20	1
In basic terms , human cloning is essentially the process of making a genetically identical copy of a human . In basic terms , human cloning is essentially the process of making a genetically identical copy of a human .	none	NoArgument	1110	15	1
While the debate about cloning humans is ongoing , how do you feel	elaboration	NoArgument	178	9	1
do you feel about it ?	attribution	NoArgument	178	1	1
that cloning will lead to loss of individuality eventually ,	elaboration	Argument	71	9	0
to loss of individuality eventually , but people have their own personality	elaboration	Argument	71	9	0
but people have their own personality cloned which personality is similar to those	elaboration	Argument	71	9	0
cloned which personality is similar to those in which they were created .	elaboration	Argument	71	9	0
Many people believe that cloning will lead	attribution	Argument	71	1	0
Genes that are defective could be eliminated , which	elaboration	Argument	889	9	0
, which may eliminate the genetic diseases that defective genes may cause .	elaboration	Argument	889	9	0
A clone would have access to a tremendous amount of information about his or her parent	elaboration	Argument	1151	9	0
that could greatly help in understanding one 's psyche and physical attributes .	elaboration	Argument	1151	9	0
parent that could	attribution	Argument	1151	1	0
Reproductive cloning can be the wave of the future for those couples that are labeled as infertile .	elaboration	Argument	2935	9	0
then this clone would have no soul it would be not a person but a body	attribution	Argument	1956	1	0
but a body that acts on instinct .	attribution	Argument	1956	1	0
and god exists then this clone would have no soul it would be not a person	attribution	Argument	1956	1	0
If a Clone of a human is done successfully and god exists	condition	Argument	1956	5	0
Lailah , I am only 13 but i think that your opinon was amazing .	attribution	NoArgument	565	1	1
just image if someone came up to	purpose	Argument	1256	16	0
to you and asked you	elaboration	Argument	1256	9	0
you and asked you who	elaboration	Argument	1256	9	0
to the father is ,	elaboration	Argument	1256	9	0
and you would have to say noone , just image	attribution	Argument	1256	1	0
noone , just image how painful that would be for you	elaboration	Argument	1256	9	0
how painful that would be for you just to say	attribution	Argument	1256	1	0
just to say .	attribution	Argument	1256	1	0
the father is , and you would have to say	list	Argument	1256	12	0
To be a better parent - Human cloning can improve the parent-child relationship .	elaboration	Argument	2344	9	0
It is easier to understand the process of human cloning when you compare it	circumstance	NoArgument	1828	2	1
when you compare it to the process that takes place when human twins are conceived .	elaboration	NoArgument	1828	9	1
It simply is : You are your own highest being in your life , you put yourself first and therefore by a means worship yourself .	elaboration	NoArgument	2062	9	1
Once activated , the cancer cells will divide rapidly and will not respond to the natural cell signaling process of a human body . Once activated , the cancer cells will divide rapidly and will not respond to the natural cell signaling process of a human body .	none	NoArgument	362	15	1
Even in animals , cloning remains challenging , with most clones showing abnormalities and dying early ; and human cloning would be far more difficult , he said .	elaboration	Argument	2281	9	0
It would definitely make you more confused , it relates to this so well .	elaboration	NoArgument	147	9	1
He suffers chronic unbearable pain . He suffers chronic unbearable pain .	none	NoArgument	1303	15	1
The implications of what happens	elaboration	Argument	355	9	0
when human cloning goes wrong are not fully understood , which is not ideal .	elaboration	Argument	355	9	0
The implications when human cloning goes wrong are not fully understood	same_unit	Argument	355	20	0
This would then create premature aging issues and potentially even premature death , all	elaboration	Argument	216	9	0
all because of the cloning process .	reason	Argument	216	18	0
As cells divide , some cells differentiate and become stem cells that produce specific tissues and then organs .	list	NoArgument	649	12	1
A Child 's right to be better than its parents - It 's been suggested	comparison	Argument	2438	3	0
A Child 's right to be better that parents have a duty	elaboration	Argument	2438	9	0
that parents have a duty to see that	attribution	Argument	2438	1	0
their children have better lives than they do .	comparison	Argument	2438	3	0
to see that their children have better lives	attribution	Argument	2438	1	0
The asexual reproduction is a continuance of existing genetic information which	elaboration	NoArgument	640	9	1
information which then produces identical offspring to the parent .	sequence	NoArgument	640	21	1
It risks the possibility of faster aging . It risks the possibility of faster aging .	none	Argument	220	15	0
and predictions abound about how cloning technology will save thousands of lives .	elaboration	Argument	2363	9	0
Theories exist about how cloning may lead to a cure for heart attacks , a revolution in cosmetic surgery , organs for organ transplantation , and predictions abound	list	Argument	2363	12	0
Clearly , there is something to be discussed about this topic ,	elaboration	NoArgument	162	9	1
to be discussed about this topic , but it is almost impossible to try to	elaboration	NoArgument	162	9	1
but it is almost impossible to try to determine	elaboration	NoArgument	162	9	1
determine if human cloning is good or bad .	condition	NoArgument	162	5	1
that only God gives us the right	elaboration	NoArgument	361	9	1
only God gives us the right to be healthy or not etc , then I would be slightly appalled	elaboration	NoArgument	361	9	1
only God gives us the right but I respect your opinion .	elaboration	NoArgument	361	9	1
If you 're religious and say that	attribution	NoArgument	361	1	1
Japan has banned human cloning and will probably suffer by falling behind during the biotech revolution . Japan has banned human cloning and will probably suffer by falling behind during the biotech revolution .	none	Argument	569	15	0
To use a specific definition , the American Medical Association define cloning as the production of genetically identical organisms .	elaboration	NoArgument	77	9	1
Louisville : Westminster John Know Press .	attribution	NoArgument	333	1	1
Edited by : Louisville :	textualorganization	NoArgument	333	23	1
rather than cloning the existing person ?	comparison	NoArgument	348	3	1
Would anybody actually propose that the genetically damaged embryo be grown to full term ,	attribution	NoArgument	348	1	1
that the genetically damaged embryo be grown to full term , rather	list	NoArgument	348	12	1
that human cloning can result to a new difference that will only cause more harm .	elaboration	Argument	798	9	0
since there is already a great deal of gap and difference in the world today , from race to social status , many people feel that human cloning can result to a new difference	attribution	Argument	798	1	0
And since there is already a great deal of gap and difference in the world today , from race to social status , many people feel	attribution	Argument	798	1	0
This technology is often condemned as being contrary	circumstance	Argument	1479	2	0
as being contrary to human dignity .	purpose	Argument	1479	16	0
that we ought to postpone human cloning until we have perfected the method in animals makes some degree of sense .	circumstance	NoArgument	37	2	1
The argument that we ought to postpone human cloning	attribution	NoArgument	37	1	1
Why would you want to live with all though opinions and facts .	elaboration	NoArgument	873	9	1
That means that consumers who oppose animal cloning on animal welfare , religious , or moral grounds would be forced to unwittingly make purchases that	elaboration	Argument	212	9	0
that violate their ethical principles .	attribution	Argument	212	1	0
Several scientists dismissed that argument , saying that it remains impossible to clone a baby .	attribution	Argument	2439	1	0
These steps helped to create the atom bomb , even though the research was meant to further	concession	NoArgument	70	4	1
even though the research was meant to further our knowledge of the universe .	elaboration	NoArgument	70	9	1
So maybe actually cloning a human or possibly super humans might not be the best for the world today but great medical advantages can come	elaboration	Argument	2600	9	0
but great medical advantages can come if cloning is not banned	condition	Argument	2600	5	0
if cloning is not banned and further research is allowed .	list	Argument	2600	12	0
But cloning technologies are needed if inheritable genetic modification is to become commercially practicable .	condition	Argument	2501	5	0
This is my imput on the subject . This is my imput on the subject .	none	NoArgument	416	15	1
Edited by : Dillon RS .	textualorganization	NoArgument	104	23	1
Mutts tend to be more adaptable and healthier . Mutts tend to be more adaptable and healthier .	none	NoArgument	1675	15	1
we would never run out of armies .	elaboration	NoArgument	466	9	1
As we move forward into the millennium , the cloned animal , Dolly , had already died prematurely .	elaboration	Argument	1867	9	0
and why it	elaboration	NoArgument	833	9	1
it We should first understand our own limits and balance them with logical thinking .	attribution	NoArgument	833	1	1
This paper will focus on the ethical and moral dilemmas surrounding the science of cloning and why	list	NoArgument	833	12	1
that we can use stem cells to clone transplantable organs .	purpose	Argument	677	16	0
E.g. we do not know for sure that we can use stem cells	attribution	Argument	677	1	0
that we must tolerate some views that we do n't agree with so	elaboration	NoArgument	400	9	1
that we do n't agree with so that	elaboration	NoArgument	400	9	1
that we all may be free .	attribution	NoArgument	400	1	1
In a free society we know that we must tolerate some views	attribution	NoArgument	400	1	1
Medical tragedies - Many people have suffered accidental medical tragedies during their lifetimes . Medical tragedies - Many people have suffered accidental medical tragedies during their lifetimes .	none	NoArgument	1716	15	1
Three polls conducted this year examined the issue . Three polls conducted this year examined the issue .	none	NoArgument	1267	15	1
Throughout history , parents who have lost children have grieved and sought consolation from family and community	elaboration	NoArgument	437	9	1
who have lost children have grieved and sought consolation from family and community .	attribution	NoArgument	437	1	1
Or maybe the child knows	elaboration	NoArgument	1188	9	1
it is the twin of a dead brother or sister .	elaboration	NoArgument	1188	9	1
knows it is the twin of a dead brother or sister	attribution	NoArgument	1188	1	1
Reproductive cloning is considered unsafe . Reproductive cloning is considered unsafe .	none	Argument	1122	15	0
hundreds of endanged animals will no longer be endanged . hundreds of endanged animals will no longer be endanged .	none	Argument	532	15	0
Reproductive cloning can be considered unethical and against god 's wishes .	list	Argument	1820	12	0
If you allow research at 14 days , why not 15 days or 30 days ? If you allow research at 14 days , why not 15 days or 30 days ?	none	NoArgument	1490	15	1
Stem cells are special cells found in very early stage embryos ( 5 days after fertilization of an egg ) and in some types of adult tissue . Stem cells are special cells found in very early stage embryos ( 5 days after fertilization of an egg ) and in some types of adult tissue .	none	NoArgument	13	15	1
you please reply me as soon as possible ???	circumstance	NoArgument	2493	2	1
I really want to know ... can	attribution	NoArgument	2493	1	1
... can you please reply me	list	NoArgument	2493	12	1
Cloning always conjures up ideas of Dr. Frankenstein ,	elaboration	Argument	1698	9	0
of Dr. Frankenstein , who became a victim of his own desire for knowledge .	elaboration	Argument	1698	9	0
Reproductive cloning could allow parents of a child who	elaboration	Argument	2511	9	0
has died to seek redress for their loss .	elaboration	Argument	2511	9	0
Reproductive cloning could allow parents of a child has died to seek redress	same_unit	Argument	2511	20	0
Those who favor cloning humans argue	elaboration	Argument	1985	9	0
Those that	elaboration	Argument	1985	9	0
that we could produce	elaboration	Argument	1985	9	0
we could produce more geniuses	elaboration	Argument	1985	9	0
more geniuses and thereby improve life for everyone through their contributions .	list	Argument	1985	12	0
A bill to that effect has been proposed by the current House , but not the Senate , said David Prentice , senior fellow for life sciences at the Family Research Council .	attribution	NoArgument	2620	1	1
Web Surfer 's Caveat : These are class notes , intended to comment on readings and amplify class discussion .	elaboration	NoArgument	1533	9	1
Cloning , they claim , is a better technology	elaboration	Argument	67	9	0
technology for harvesting stem cells	elaboration	Argument	67	9	0
for harvesting stem cells because it could mitigate problems of tissue rejection ,	reason	Argument	67	18	0
because it could mitigate problems of tissue rejection , since stem cells are cloned from the patient 's own body .	elaboration	Argument	67	9	0
The United States Constitution gives us express rights to believe	elaboration	NoArgument	188	9	1
The United States Constitution gives us express rights whatever	elaboration	NoArgument	188	9	1
whatever we want	elaboration	NoArgument	188	9	1
we want when it comes	circumstance	NoArgument	188	2	1
when it comes to religion	elaboration	NoArgument	188	9	1
and therefore I could say	attribution	NoArgument	188	1	1
I could say that my half-chicken , half-monkey god disapproves of cloning	attribution	NoArgument	188	1	1
to religion that my half-chicken , half-monkey god disapproves of cloning	list	NoArgument	188	12	1
and therefore and it would be just as valid of an argument .	list	NoArgument	188	12	1
However , in practice , it presents more problems than it can solve .	comparison	Argument	788	3	0
It is likely that the anti-cloners are quite wrong . It is likely that the anti-cloners are quite wrong .	none	Argument	846	15	0
Bad parents - Did your parents destroy your life ? Bad parents - Did your parents destroy your life ?	none	NoArgument	2694	15	1
that we find asexual reproduction only in the lowest forms of life .	condition	Argument	435	5	0
Gilbert Meilaender notes that we find asexual reproduction	attribution	Argument	435	1	0
I stongry dissagree with you zoya .	elaboration	NoArgument	1640	9	1
Due to the ethical questions surrounding this issue an agreement on this topic might never be reached . Due to the ethical questions surrounding this issue an agreement on this topic might never be reached .	none	NoArgument	1379	15	1
some experts believe no clones are fully healthy .	attribution	Argument	1560	1	0
At least 95 % of mammalian cloning experiments have resulted in failures in the form of miscarriages , stillbirths , and life-threatening anomalies ; no clones are fully healthy .	list	Argument	1560	12	0
It is fair to say that cloning is akin to murder or manslaughter at the least .	attribution	Argument	439	1	0
Just as each member of a pair of identical twins has a soul , so would a clone .	attribution	Argument	364	1	0
Also this helps a lot because I have	reason	NoArgument	241	18	1
because I have to write a essay on cloning .	elaboration	NoArgument	241	9	1
The following reviews key questions and answers about the public 's view of this controversial issue . The following reviews key questions and answers about the public 's view of this controversial issue .	none	NoArgument	2402	15	1
While many people go through their lives never having a special relationship with another person , there are stories of twins in which they are so close they are perhaps psychically connected .	elaboration	NoArgument	1338	9	1
The industrial revolution and Internet revolutions enriched the United States of America . The industrial revolution and Internet revolutions enriched the United States of America .	none	NoArgument	51	15	1
For that matter , how can you believe	elaboration	NoArgument	18	9	1
matter , how can you believe in a BOOK .	elaboration	NoArgument	18	9	1
We are commanded not to murder humans ( Ex . We are commanded not to murder humans ( Ex .	none	NoArgument	191	15	1
Research cloning will be necessary in order to produce compatible tissues and organs for patients being treated with stem cell therapies .	purpose	Argument	1897	16	0
And of course , that 's just the ones born . And of course , that 's just the ones born .	none	NoArgument	1408	15	1
in the shadow of their nuclear donor , in a way that would strongly tend to constrain individual psychological and social development .	elaboration	Argument	1577	9	0
Cloned children would unavoidably be raised in the shadow of their nuclear donor , in a way	textualorganization	Argument	1577	23	0
As Donald Bruce argues : Willfully to copy the human genetic identity seems to go beyond something inherent in human dignity	elaboration	Argument	85	9	0
and individuality .	elaboration	Argument	85	9	0
Willfully to copy the human genetic identity seems to go beyond something inherent in human dignity and individuality	list	Argument	85	12	0
So Many Unknowns There is no way to predict exactly what would happen	elaboration	Argument	1295	9	0
to predict exactly what would happen if we had prehistoric animals roaming around the world ,	condition	Argument	1295	5	0
So Many Unknowns There is no way but that may not be a very good thing .	contrast	Argument	1295	7	0
Because We Can : Just because science gives humanity the ability	elaboration	Argument	324	9	0
Just because science gives humanity the ability to do something	elaboration	Argument	324	9	0
to do something does not mean	attribution	Argument	324	1	0
does not mean that humankind should .	attribution	Argument	324	1	0
Here are some other cons to consider .	purpose	NoArgument	513	16	1
i recently did a report and this sight helped me very much .	list	NoArgument	856	12	1
Further , this argument appropriates the phrase genetically related to embrace a condition that has never before	elaboration	Argument	418	9	0
has never before occurred in human history ,	elaboration	Argument	418	9	0
occurred in human history , one which abolishes the genetic variations that have always existed between parent and child	elaboration	Argument	418	9	0
one which abolishes the genetic variations that have always existed between parent and child .	elaboration	Argument	418	9	0
This may seem like an unethical and weird concept , but it has merits , especially for the patient involved .	elaboration	Argument	595	9	0
you never have a chance ?	elaboration	NoArgument	2559	9	1
Did you never have a chance	attribution	NoArgument	2559	1	1
However , the main difference is that the birth of human twins is seen as a natural practice , but human cloning is seen as artificial in nature . However , the main difference is that the birth of human twins is seen as a natural practice , but human cloning is seen as artificial in nature .	none	Argument	384	15	0
To pass a bill requires not 51 votes , but 60 , to override a filibuster .	elaboration	NoArgument	289	9	1
Hence , MAD is a member of a novel , highly conserved protein family . Hence , MAD is a member of a novel , highly conserved protein family .	none	NoArgument	1147	15	1
There are grasses that send out shoots underground	elaboration	NoArgument	1536	9	1
underground that form other identical plants .	attribution	NoArgument	1536	1	1
Cloning would prove every religion wrong and say	elaboration	Argument	2485	9	0
every religion wrong and say god or whoever it is is not the sout create of life god would cease to exist	attribution	Argument	2485	1	0
god or whoever it is is not the sout create of life god would cease to exist and the world would turn to turmoil .	list	Argument	2485	12	0
Some people might use clones for crime or other unlawful interests . Some people might use clones for crime or other unlawful interests .	none	Argument	1719	15	0
God Bless you man . God Bless you man .	none	NoArgument	105	15	1
Creating stem cells in this way is too cumbersome to treat	elaboration	Argument	517	9	0
to treat vast numbers of patients , he said	attribution	Argument	517	1	0
vast numbers of patients , he said .	attribution	Argument	517	1	0
Reproductive cloning would diminish the sense of uniqueness of an individual . Reproductive cloning would diminish the sense of uniqueness of an individual .	none	Argument	2214	15	0
and difference in the world from race to caste , many feel	attribution	Argument	713	1	0
to caste , many feel that a new difference will only result in more harm .	attribution	Argument	713	1	0
Since there already seems to be so much division and difference in the world from race	list	Argument	713	12	0
Using existing ES cell lines , including those	elaboration	NoArgument	62	9	1
while studies of the basic mechanisms of reprogramming can still be conducted using animal models .	means	NoArgument	62	14	1
Using existing ES cell lines , while studies of the basic mechanisms of reprogramming can still be conducted	attribution	NoArgument	62	1	1
Using existing ES cell lines , created through cloning , scientists could continue to compare the efficacy of the two types of cell lines ,	same_unit	NoArgument	62	20	1
Ms Landrieu does not want to ban cloning research in order to limit medical knowledge . Ms Landrieu does not want to ban cloning research in order to limit medical knowledge .	none	Argument	232	15	0
Then god is not real . Then god is not real .	none	NoArgument	779	15	1
Why some people want to clone themselves or even to clone the dead ( and not just cloning pets ) . Why some people want to clone themselves or even to clone the dead ( and not just cloning pets ) .	none	NoArgument	336	15	1
Scientists have also said that with human cloning one of the first diseases they can fix is Leukemia .	attribution	Argument	1770	1	0
Surely the scientist could be said to be responsible for the diseases and birth defects	elaboration	Argument	43	9	0
to be responsible for the diseases and birth defects that would predictably result from having exposed	elaboration	Argument	43	9	0
that would predictably result from having exposed the germ cells to radiation or other mutagens .	elaboration	Argument	43	9	0
It 's totally crazy . 	elaboration	NoArgument	845	9	1
* Your name * Email address ( will not appear or be used ) Send me emails of replies to my comment ? * Your name * Email address ( will not appear or be used ) Send me emails of replies to my comment ?	none	NoArgument	1629	15	1
it is a bad idea to clone human beings .	elaboration	NoArgument	1793	9	1
that 90 % of Americans feel it is a bad idea	attribution	NoArgument	1793	1	1
In February 2001 , a Time/CNN poll showed that 90 % of Americans feel	attribution	NoArgument	1793	1	1
There is no justification for cloning , it is so inhumane in the sense that there are people on this earth with very cruel intentions and human cloning would allow for military use .	elaboration	Argument	87	9	0
Rather , the real question is whether new technologies like reproduction by somatic cell nuclear transfer are presumptively morally wrong or presumptively morally right . Rather , the real question is whether new technologies like reproduction by somatic cell nuclear transfer are presumptively morally wrong or presumptively morally right .	none	NoArgument	1042	15	1
And Sir James Chadwick , a student and co-worker of Lord Rutherford , in 1932 , discovered the third fundamental particle of the atom , the neutron .	attribution	NoArgument	632	1	1
By putting yourself as your own greatest being ( in an non-conceited way	circumstance	NoArgument	2490	2	1
as your own greatest being ( in an non-conceited way ) you are able to control and handle your life the way	elaboration	NoArgument	2490	9	1
) you are able to control and handle your life the way you should ,	elaboration	NoArgument	2490	9	1
) you are able to control and handle your life the way and you are responsible for all your actions .	list	NoArgument	2490	12	1
Innovation That Can Change the World Cloning is innovation that is extremely powerful and has the ability to bring about huge change .	elaboration	Argument	119	9	0
that efforts to ban bio-medical research could have an adverse effect for many Americans who	elaboration	Argument	248	9	0
Supporters of therapeutic cloning technologies believe that efforts	attribution	Argument	248	1	0
that efforts hope for access to cures from many diseases .	same_unit	Argument	248	20	0
What we read is what the writer wanted us to remember .	attribution	NoArgument	64	1	1
it would be a choice , an option , so	attribution	Argument	2291	1	0
you if you choose for it not to .	condition	Argument	2291	5	0
if you 're against it , fine it wo n't affect you	condition	Argument	2291	5	0
so if you 're against it , fine it wo n't affect	attribution	Argument	2291	1	0
If cloning were to be legal it would be a choice , an option ,	condition	Argument	2291	5	0
Some of the controversy and differing opinion involving human cloning can be due to the complexity of this issue .	elaboration	NoArgument	1327	9	1
Much better to take cells from the adult and trigger them directly	purpose	NoArgument	673	16	1
to take cells from the adult and trigger them directly to regress	purpose	NoArgument	673	16	1
to regress to a more primitive	elaboration	NoArgument	673	9	1
to a more primitive form	elaboration	NoArgument	673	9	1
form without the ethical issues	manner	NoArgument	673	13	1
without the ethical issues raised by inserting a full adult set of genes into an unfertilised egg .	elaboration	NoArgument	673	9	1
Americans remain more upbeat about current conditions	elaboration	NoArgument	1562	9	1
